Season,Phase,Month,Week,Date,Team,Opponent,Location,W/L,City,Distance,Route,Rest,TZ,Shift (hrs),Flight Time,Direction (E/W),Return Home,Latitude,Longitude,d.Latitude,d.Longitude
2012-13,RS,Nov,44,2012-11-02,Atlanta Hawks,Houston Rockets,Home,L,Atlanta,0,No Travel,15,America/New_York,0,-,-,,33.76,-84.42,33.76,-84.42
2012-13,RS,Nov,45,2012-11-04,Atlanta Hawks,Oklahoma City Thunder,Away,W,Oklahoma City,753,Atlanta - Oklahoma City,1,America/Chicago,-1,~1.37 hours,West,,35.47,-97.51,33.76,-84.42
2012-13,RS,Nov,45,2012-11-07,Atlanta Hawks,Indiana Pacers,Home,W,Atlanta,753,Oklahoma City - Atlanta,2,America/New_York,1,~1.37 hours,East,,33.76,-84.42,35.47,-97.51
2012-13,RS,Nov,45,2012-11-09,Atlanta Hawks,Miami Heat,Home,L,Atlanta,0,No Travel,1,America/New_York,0,-,-,,33.76,-84.42,33.76,-84.42
2012-13,RS,Nov,46,2012-11-11,Atlanta Hawks,Los Angeles Clippers,Away,L,Los Angeles,1941,Atlanta - Los Angeles,1,America/Los_Angeles,-3,~3.53 hours,West,,34.11,-118.41,33.76,-84.42
2012-13,RS,Nov,46,2012-11-12,Atlanta Hawks,Portland Trail Blazers,Away,W,Portland,821,Los Angeles - Portland,0,America/Los_Angeles,0,~1.49 hours,-,,45.54,-122.66,34.11,-118.41
2012-13,RS,Nov,46,2012-11-14,Atlanta Hawks,Golden State Warriors,Away,L,San Francisco,537,Portland - San Francisco,1,America/Los_Angeles,0,~58.58 minutes,-,,37.77,-122.45,45.54,-122.66
2012-13,RS,Nov,46,2012-11-16,Atlanta Hawks,Sacramento Kings,Away,W,Sacramento,77,San Francisco - Sacramento,1,America/Los_Angeles,0,~55 minutes,-,,38.57,-121.47,37.77,-122.45
2012-13,RS,Nov,47,2012-11-19,Atlanta Hawks,Orlando Magic,Home,W,Atlanta,2080,Sacramento - Atlanta,2,America/New_York,3,~3.78 hours,East,,33.76,-84.42,38.57,-121.47
2012-13,RS,Nov,47,2012-11-21,Atlanta Hawks,Washington Wizards,Home,W,Atlanta,0,No Travel,1,America/New_York,0,-,-,,33.76,-84.42,33.76,-84.42
2012-13,RS,Nov,47,2012-11-23,Atlanta Hawks,Charlotte Bobcats,Away,W,Charlotte,227,Atlanta - Charlotte,1,America/New_York,0,~55 minutes,-,,35.2,-80.83,33.76,-84.42
2012-13,RS,Nov,47,2012-11-24,Atlanta Hawks,Los Angeles Clippers,Home,W,Atlanta,227,Charlotte - Atlanta,0,America/New_York,0,~55 minutes,-,,33.76,-84.42,35.2,-80.83
2012-13,RS,Nov,48,2012-11-28,Atlanta Hawks,Charlotte Bobcats,Home,W,Atlanta,0,No Travel,3,America/New_York,0,-,-,,33.76,-84.42,33.76,-84.42
2012-13,RS,Nov,48,2012-11-30,Atlanta Hawks,Cleveland Cavaliers,Home,L,Atlanta,0,No Travel,1,America/New_York,0,-,-,,33.76,-84.42,33.76,-84.42
2012-13,RS,Dec,49,2012-12-05,Atlanta Hawks,Denver Nuggets,Home,W,Atlanta,0,No Travel,4,America/New_York,0,-,-,,33.76,-84.42,33.76,-84.42
2012-13,RS,Dec,49,2012-12-07,Atlanta Hawks,Washington Wizards,Home,W,Atlanta,0,No Travel,1,America/New_York,0,-,-,,33.76,-84.42,33.76,-84.42
2012-13,RS,Dec,49,2012-12-08,Atlanta Hawks,Memphis Grizzlies,Away,W,Memphis,332,Atlanta - Memphis,0,America/Chicago,-1,~55 minutes,West,,35.11,-90.01,33.76,-84.42
2012-13,RS,Dec,50,2012-12-10,Atlanta Hawks,Miami Heat,Away,L,Miami,869,Memphis - Miami,1,America/New_York,1,~1.58 hours,East,,25.78,-80.21,35.11,-90.01
2012-13,RS,Dec,50,2012-12-12,Atlanta Hawks,Orlando Magic,Away,W,Orlando,201,Miami - Orlando,1,America/New_York,0,~55 minutes,-,,28.5,-81.37,25.78,-80.21
2012-13,RS,Dec,50,2012-12-13,Atlanta Hawks,Charlotte Bobcats,Home,W,Atlanta,406,Orlando - Atlanta,0,America/New_York,0,~55 minutes,-,,33.76,-84.42,28.5,-81.37
2012-13,RS,Dec,50,2012-12-15,Atlanta Hawks,Golden State Warriors,Home,L,Atlanta,0,No Travel,1,America/New_York,0,-,-,,33.76,-84.42,33.76,-84.42
2012-13,RS,Dec,51,2012-12-18,Atlanta Hawks,Washington Wizards,Away,W,Washington,544,Atlanta - Washington,2,America/New_York,0,~59.35 minutes,-,,38.91,-77.02,33.76,-84.42
2012-13,RS,Dec,51,2012-12-19,Atlanta Hawks,Oklahoma City Thunder,Home,L,Atlanta,544,Washington - Atlanta,0,America/New_York,0,~59.35 minutes,-,,33.76,-84.42,38.91,-77.02
2012-13,RS,Dec,51,2012-12-21,Atlanta Hawks,Philadelphia 76ers,Away,L,Philadelphia,671,Atlanta - Philadelphia,1,America/New_York,0,~1.22 hours,-,,40.01,-75.13,33.76,-84.42
2012-13,RS,Dec,51,2012-12-22,Atlanta Hawks,Chicago Bulls,Home,W,Atlanta,671,Philadelphia - Atlanta,0,America/New_York,0,~1.22 hours,-,,33.76,-84.42,40.01,-75.13
2012-13,RS,Dec,52,2012-12-26,Atlanta Hawks,Detroit Pistons,Home,W,Atlanta,0,No Travel,3,America/New_York,0,-,-,,33.76,-84.42,33.76,-84.42
2012-13,RS,Dec,52,2012-12-28,Atlanta Hawks,Cleveland Cavaliers,Away,W,Cleveland,554,Atlanta - Cleveland,1,America/New_York,0,~1.01 hours,-,,41.48,-81.68,33.76,-84.42
2012-13,RS,Dec,52,2012-12-29,Atlanta Hawks,Indiana Pacers,Home,W,Atlanta,554,Cleveland - Atlanta,0,America/New_York,0,~1.01 hours,-,,33.76,-84.42,41.48,-81.68
2012-13,RS,Dec,53,2012-12-31,Atlanta Hawks,Houston Rockets,Away,L,Houston,701,Atlanta - Houston,1,America/Chicago,-1,~1.27 hours,West,,29.77,-95.39,33.76,-84.42
2012-13,RS,Jan,1,2013-01-01,Atlanta Hawks,New Orleans Hornets,Away,W,New Orleans,328,Houston - New Orleans,0,America/Chicago,0,~55 minutes,-,,30.07,-89.93,29.77,-95.39
2012-13,RS,Jan,1,2013-01-04,Atlanta Hawks,Detroit Pistons,Away,L,Detroit,932,New Orleans - Detroit,2,America/Detroit,1,~1.69 hours,East,,42.38,-83.1,30.07,-89.93
2012-13,RS,Jan,1,2013-01-05,Atlanta Hawks,Boston Celtics,Home,L,Atlanta,600,Detroit - Atlanta,0,America/New_York,0,~1.09 hours,-,,33.76,-84.42,42.38,-83.1
2012-13,RS,Jan,2,2013-01-08,Atlanta Hawks,Minnesota Timberwolves,Away,L,Minneapolis,906,Atlanta - Minneapolis,2,America/Chicago,-1,~1.65 hours,West,,44.96,-93.27,33.76,-84.42
2012-13,RS,Jan,2,2013-01-09,Atlanta Hawks,Cleveland Cavaliers,Away,L,Cleveland,631,Minneapolis - Cleveland,0,America/New_York,1,~1.15 hours,East,,41.48,-81.68,44.96,-93.27
2012-13,RS,Jan,2,2013-01-11,Atlanta Hawks,Utah Jazz,Home,W,Atlanta,554,Cleveland - Atlanta,1,America/New_York,0,~1.01 hours,-,,33.76,-84.42,41.48,-81.68
2012-13,RS,Jan,2,2013-01-12,Atlanta Hawks,Washington Wizards,Away,L,Washington,544,Atlanta - Washington,0,America/New_York,0,~59.35 minutes,-,,38.91,-77.02,33.76,-84.42
2012-13,RS,Jan,2,2013-01-14,Atlanta Hawks,Chicago Bulls,Away,L,Chicago,596,Washington - Chicago,1,America/Chicago,-1,~1.08 hours,West,,41.84,-87.68,38.91,-77.02
2012-13,RS,Jan,3,2013-01-16,Atlanta Hawks,Brooklyn Nets,Home,W,Atlanta,586,Chicago - Atlanta,1,America/New_York,1,~1.07 hours,East,,33.76,-84.42,41.84,-87.68
2012-13,RS,Jan,3,2013-01-18,Atlanta Hawks,Brooklyn Nets,Away,L,New York,748,Atlanta - New York,1,America/New_York,0,~1.36 hours,-,,40.67,-73.94,33.76,-84.42
2012-13,RS,Jan,3,2013-01-19,Atlanta Hawks,San Antonio Spurs,Home,L,Atlanta,748,New York - Atlanta,0,America/New_York,0,~1.36 hours,-,,33.76,-84.42,40.67,-73.94
2012-13,RS,Jan,3,2013-01-21,Atlanta Hawks,Minnesota Timberwolves,Home,W,Atlanta,0,No Travel,1,America/New_York,0,-,-,,33.76,-84.42,33.76,-84.42
2012-13,RS,Jan,4,2013-01-23,Atlanta Hawks,Charlotte Bobcats,Away,W,Charlotte,227,Atlanta - Charlotte,1,America/New_York,0,~55 minutes,-,,35.2,-80.83,33.76,-84.42
2012-13,RS,Jan,4,2013-01-25,Atlanta Hawks,Boston Celtics,Home,W,Atlanta,227,Charlotte - Atlanta,1,America/New_York,0,~55 minutes,-,,33.76,-84.42,35.2,-80.83
2012-13,RS,Jan,4,2013-01-27,Atlanta Hawks,New York Knicks,Away,L,New York,748,Atlanta - New York,1,America/New_York,0,~1.36 hours,-,,40.67,-73.94,33.76,-84.42
2012-13,RS,Jan,5,2013-01-30,Atlanta Hawks,Toronto Raptors,Home,W,Atlanta,748,New York - Atlanta,2,America/New_York,0,~1.36 hours,-,,33.76,-84.42,40.67,-73.94
2012-13,RS,Feb,5,2013-02-02,Atlanta Hawks,Chicago Bulls,Home,L,Atlanta,0,No Travel,2,America/New_York,0,-,-,,33.76,-84.42,33.76,-84.42
2012-13,RS,Feb,6,2013-02-05,Atlanta Hawks,Indiana Pacers,Away,L,Indianapolis,427,Atlanta - Indianapolis,2,America/Indiana/Indianapolis,0,~55 minutes,-,,39.78,-86.15,33.76,-84.42
2012-13,RS,Feb,6,2013-02-06,Atlanta Hawks,Memphis Grizzlies,Home,W,Atlanta,427,Indianapolis - Atlanta,0,America/New_York,0,~55 minutes,-,,33.76,-84.42,39.78,-86.15
2012-13,RS,Feb,6,2013-02-08,Atlanta Hawks,New Orleans Hornets,Home,L,Atlanta,0,No Travel,1,America/New_York,0,-,-,,33.76,-84.42,33.76,-84.42
2012-13,RS,Feb,6,2013-02-11,Atlanta Hawks,Dallas Mavericks,Away,W,Dallas,716,Atlanta - Dallas,2,America/Chicago,-1,~1.3 hours,West,,32.79,-96.77,33.76,-84.42
2012-13,RS,Feb,7,2013-02-13,Atlanta Hawks,Orlando Magic,Away,W,Orlando,962,Dallas - Orlando,1,America/New_York,1,~1.75 hours,East,,28.5,-81.37,32.79,-96.77
2012-13,RS,Feb,8,2013-02-20,Atlanta Hawks,Miami Heat,Home,L,Atlanta,406,Orlando - Atlanta,6,America/New_York,0,~55 minutes,-,,33.76,-84.42,28.5,-81.37
2012-13,RS,Feb,8,2013-02-22,Atlanta Hawks,Sacramento Kings,Home,W,Atlanta,0,No Travel,1,America/New_York,0,-,-,,33.76,-84.42,33.76,-84.42
2012-13,RS,Feb,8,2013-02-23,Atlanta Hawks,Milwaukee Bucks,Away,W,Milwaukee,671,Atlanta - Milwaukee,0,America/Chicago,-1,~1.22 hours,West,,43.06,-87.97,33.76,-84.42
2012-13,RS,Feb,8,2013-02-25,Atlanta Hawks,Detroit Pistons,Away,W,Detroit,252,Milwaukee - Detroit,1,America/Detroit,1,~55 minutes,East,,42.38,-83.1,43.06,-87.97
2012-13,RS,Feb,9,2013-02-27,Atlanta Hawks,Utah Jazz,Away,W,Salt Lake City,1488,Detroit - Salt Lake City,1,America/Denver,-2,~2.71 hours,West,,40.78,-111.93,42.38,-83.1
2012-13,RS,Mar,9,2013-03-01,Atlanta Hawks,Phoenix Suns,Away,L,Phoenix,501,Salt Lake City - Phoenix,1,America/Phoenix,0,~55 minutes,-,,33.54,-112.07,40.78,-111.93
2012-13,RS,Mar,9,2013-03-03,Atlanta Hawks,Los Angeles Lakers,Away,L,Los Angeles,366,Phoenix - Los Angeles,1,America/Los_Angeles,-1,~55 minutes,West,,34.11,-118.41,33.54,-112.07
2012-13,RS,Mar,9,2013-03-04,Atlanta Hawks,Denver Nuggets,Away,L,Denver,843,Los Angeles - Denver,0,America/Denver,1,~1.53 hours,East,,39.77,-104.87,34.11,-118.41
2012-13,RS,Mar,10,2013-03-06,Atlanta Hawks,Philadelphia 76ers,Home,W,Atlanta,1203,Denver - Atlanta,1,America/New_York,2,~2.19 hours,East,,33.76,-84.42,39.77,-104.87
2012-13,RS,Mar,10,2013-03-08,Atlanta Hawks,Boston Celtics,Away,L,Boston,938,Atlanta - Boston,1,America/New_York,0,~1.71 hours,-,,42.34,-71.02,33.76,-84.42
2012-13,RS,Mar,10,2013-03-09,Atlanta Hawks,Brooklyn Nets,Home,L,Atlanta,938,Boston - Atlanta,0,America/New_York,0,~1.71 hours,-,,33.76,-84.42,42.34,-71.02
2012-13,RS,Mar,11,2013-03-12,Atlanta Hawks,Miami Heat,Away,L,Miami,607,Atlanta - Miami,2,America/New_York,0,~1.1 hours,-,,25.78,-80.21,33.76,-84.42
2012-13,RS,Mar,11,2013-03-13,Atlanta Hawks,Los Angeles Lakers,Home,W,Atlanta,607,Miami - Atlanta,0,America/New_York,0,~1.1 hours,-,,33.76,-84.42,25.78,-80.21
2012-13,RS,Mar,11,2013-03-15,Atlanta Hawks,Phoenix Suns,Home,W,Atlanta,0,No Travel,1,America/New_York,0,-,-,,33.76,-84.42,33.76,-84.42
2012-13,RS,Mar,11,2013-03-17,Atlanta Hawks,Brooklyn Nets,Away,W,New York,748,Atlanta - New York,1,America/New_York,0,~1.36 hours,-,,40.67,-73.94,33.76,-84.42
2012-13,RS,Mar,11,2013-03-18,Atlanta Hawks,Dallas Mavericks,Home,L,Atlanta,748,New York - Atlanta,0,America/New_York,0,~1.36 hours,-,,33.76,-84.42,40.67,-73.94
2012-13,RS,Mar,12,2013-03-20,Atlanta Hawks,Milwaukee Bucks,Home,W,Atlanta,0,No Travel,1,America/New_York,0,-,-,,33.76,-84.42,33.76,-84.42
2012-13,RS,Mar,12,2013-03-22,Atlanta Hawks,Portland Trail Blazers,Home,L,Atlanta,0,No Travel,1,America/New_York,0,-,-,,33.76,-84.42,33.76,-84.42
2012-13,RS,Mar,12,2013-03-24,Atlanta Hawks,Milwaukee Bucks,Away,W,Milwaukee,671,Atlanta - Milwaukee,1,America/Chicago,-1,~1.22 hours,West,,43.06,-87.97,33.76,-84.42
2012-13,RS,Mar,12,2013-03-25,Atlanta Hawks,Indiana Pacers,Away,L,Indianapolis,246,Milwaukee - Indianapolis,0,America/Indiana/Indianapolis,1,~55 minutes,East,,39.78,-86.15,43.06,-87.97
2012-13,RS,Mar,13,2013-03-27,Atlanta Hawks,Toronto Raptors,Away,W,Toronto,440,Indianapolis - Toronto,1,America/Toronto,0,~55 minutes,-,,43.65,-79.38,39.78,-86.15
2012-13,RS,Mar,13,2013-03-29,Atlanta Hawks,Boston Celtics,Away,L,Boston,432,Toronto - Boston,1,America/New_York,0,~55 minutes,-,,42.34,-71.02,43.65,-79.38
2012-13,RS,Mar,13,2013-03-30,Atlanta Hawks,Orlando Magic,Home,W,Atlanta,938,Boston - Atlanta,0,America/New_York,0,~1.71 hours,-,,33.76,-84.42,42.34,-71.02
2012-13,RS,Apr,13,2013-04-01,Atlanta Hawks,Cleveland Cavaliers,Home,W,Atlanta,0,No Travel,1,America/New_York,0,-,-,,33.76,-84.42,33.76,-84.42
2012-13,RS,Apr,14,2013-04-03,Atlanta Hawks,New York Knicks,Home,L,Atlanta,0,No Travel,1,America/New_York,0,-,-,,33.76,-84.42,33.76,-84.42
2012-13,RS,Apr,14,2013-04-05,Atlanta Hawks,Philadelphia 76ers,Home,L,Atlanta,0,No Travel,1,America/New_York,0,-,-,,33.76,-84.42,33.76,-84.42
2012-13,RS,Apr,14,2013-04-06,Atlanta Hawks,San Antonio Spurs,Away,L,San Antonio,880,Atlanta - San Antonio,0,America/Chicago,-1,~1.6 hours,West,,29.46,-98.51,33.76,-84.42
2012-13,RS,Apr,15,2013-04-10,Atlanta Hawks,Philadelphia 76ers,Away,W,Philadelphia,1509,San Antonio - Philadelphia,3,America/New_York,1,~2.74 hours,East,,40.01,-75.13,29.46,-98.51
2012-13,RS,Apr,15,2013-04-12,Atlanta Hawks,Milwaukee Bucks,Home,W,Atlanta,671,Philadelphia - Atlanta,1,America/New_York,0,~1.22 hours,-,,33.76,-84.42,40.01,-75.13
2012-13,RS,Apr,16,2013-04-16,Atlanta Hawks,Toronto Raptors,Home,L,Atlanta,0,No Travel,3,America/New_York,0,-,-,,33.76,-84.42,33.76,-84.42
2012-13,RS,Apr,16,2013-04-17,Atlanta Hawks,New York Knicks,Away,L,New York,748,Atlanta - New York,0,America/New_York,0,~1.36 hours,-,,40.67,-73.94,33.76,-84.42
2012-13,PO,Apr,16,2013-04-21,Atlanta Hawks,Indiana Pacers,Away,L,Indianapolis,647,New York - Indianapolis,3,America/Indiana/Indianapolis,0,~1.18 hours,-,,39.78,-86.15,40.67,-73.94
2012-13,PO,Apr,17,2013-04-24,Atlanta Hawks,Indiana Pacers,Away,L,Indianapolis,0,No Travel,2,America/Indiana/Indianapolis,0,-,-,,39.78,-86.15,39.78,-86.15
2012-13,PO,Apr,17,2013-04-27,Atlanta Hawks,Indiana Pacers,Home,W,Atlanta,427,Indianapolis - Atlanta,2,America/New_York,0,~55 minutes,-,,33.76,-84.42,39.78,-86.15
2012-13,PO,Apr,17,2013-04-29,Atlanta Hawks,Indiana Pacers,Home,W,Atlanta,0,No Travel,1,America/New_York,0,-,-,,33.76,-84.42,33.76,-84.42
2012-13,PO,May,18,2013-05-01,Atlanta Hawks,Indiana Pacers,Away,L,Indianapolis,427,Atlanta - Indianapolis,1,America/Indiana/Indianapolis,0,~55 minutes,-,,39.78,-86.15,33.76,-84.42
2012-13,PO,May,18,2013-05-03,Atlanta Hawks,Indiana Pacers,Home,L,Atlanta,427,Indianapolis - NA,1,America/New_York,0,~55 minutes,-,,33.76,-84.42,39.78,-86.15
2012-13,RS,Oct,44,2012-10-30,Boston Celtics,Miami Heat,Away,L,Miami,1258,Boston - Miami,15,America/New_York,0,~2.29 hours,-,,25.78,-80.21,42.34,-71.02
2012-13,RS,Nov,44,2012-11-02,Boston Celtics,Milwaukee Bucks,Home,L,Boston,1258,Miami - Boston,2,America/New_York,0,~2.29 hours,-,,42.34,-71.02,25.78,-80.21
2012-13,RS,Nov,44,2012-11-03,Boston Celtics,Washington Wizards,Away,W,Washington,394,Boston - Washington,0,America/New_York,0,~55 minutes,-,,38.91,-77.02,42.34,-71.02
2012-13,RS,Nov,45,2012-11-07,Boston Celtics,Washington Wizards,Home,W,Boston,394,Washington - Boston,3,America/New_York,0,~55 minutes,-,,42.34,-71.02,38.91,-77.02
2012-13,RS,Nov,45,2012-11-09,Boston Celtics,Philadelphia 76ers,Home,L,Boston,0,No Travel,1,America/New_York,0,-,-,,42.34,-71.02,42.34,-71.02
2012-13,RS,Nov,45,2012-11-10,Boston Celtics,Milwaukee Bucks,Away,W,Milwaukee,861,Boston - Milwaukee,0,America/Chicago,-1,~1.57 hours,West,,43.06,-87.97,42.34,-71.02
2012-13,RS,Nov,46,2012-11-12,Boston Celtics,Chicago Bulls,Away,W,Chicago,86,Milwaukee - Chicago,1,America/Chicago,0,~55 minutes,-,,41.84,-87.68,43.06,-87.97
2012-13,RS,Nov,46,2012-11-14,Boston Celtics,Utah Jazz,Home,W,Boston,854,Chicago - Boston,1,America/New_York,1,~1.55 hours,East,,42.34,-71.02,41.84,-87.68
2012-13,RS,Nov,46,2012-11-15,Boston Celtics,Brooklyn Nets,Away,L,New York,190,Boston - New York,0,America/New_York,0,~55 minutes,-,,40.67,-73.94,42.34,-71.02
2012-13,RS,Nov,46,2012-11-17,Boston Celtics,Toronto Raptors,Home,W,Boston,190,New York - Boston,1,America/New_York,0,~55 minutes,-,,42.34,-71.02,40.67,-73.94
2012-13,RS,Nov,47,2012-11-18,Boston Celtics,Detroit Pistons,Away,L,Detroit,617,Boston - Detroit,0,America/Detroit,0,~1.12 hours,-,,42.38,-83.1,42.34,-71.02
2012-13,RS,Nov,47,2012-11-21,Boston Celtics,San Antonio Spurs,Home,L,Boston,617,Detroit - Boston,2,America/New_York,0,~1.12 hours,-,,42.34,-71.02,42.38,-83.1
2012-13,RS,Nov,47,2012-11-23,Boston Celtics,Oklahoma City Thunder,Home,W,Boston,0,No Travel,1,America/New_York,0,-,-,,42.34,-71.02,42.34,-71.02
2012-13,RS,Nov,48,2012-11-25,Boston Celtics,Orlando Magic,Away,W,Orlando,1118,Boston - Orlando,1,America/New_York,0,~2.03 hours,-,,28.5,-81.37,42.34,-71.02
2012-13,RS,Nov,48,2012-11-28,Boston Celtics,Brooklyn Nets,Home,L,Boston,1118,Orlando - Boston,2,America/New_York,0,~2.03 hours,-,,42.34,-71.02,28.5,-81.37
2012-13,RS,Nov,48,2012-11-30,Boston Celtics,Portland Trail Blazers,Home,W,Boston,0,No Travel,1,America/New_York,0,-,-,,42.34,-71.02,42.34,-71.02
2012-13,RS,Dec,48,2012-12-01,Boston Celtics,Milwaukee Bucks,Away,L,Milwaukee,861,Boston - Milwaukee,0,America/Chicago,-1,~1.57 hours,West,,43.06,-87.97,42.34,-71.02
2012-13,RS,Dec,49,2012-12-05,Boston Celtics,Minnesota Timberwolves,Home,W,Boston,861,Milwaukee - Boston,3,America/New_York,1,~1.57 hours,East,,42.34,-71.02,43.06,-87.97
2012-13,RS,Dec,49,2012-12-07,Boston Celtics,Philadelphia 76ers,Away,L,Philadelphia,268,Boston - Philadelphia,1,America/New_York,0,~55 minutes,-,,40.01,-75.13,42.34,-71.02
2012-13,RS,Dec,49,2012-12-08,Boston Celtics,Philadelphia 76ers,Home,W,Boston,268,Philadelphia - Boston,0,America/New_York,0,~55 minutes,-,,42.34,-71.02,40.01,-75.13
2012-13,RS,Dec,50,2012-12-12,Boston Celtics,Dallas Mavericks,Home,W,Boston,0,No Travel,3,America/New_York,0,-,-,,42.34,-71.02,42.34,-71.02
2012-13,RS,Dec,50,2012-12-14,Boston Celtics,Houston Rockets,Away,L,Houston,1607,Boston - Houston,1,America/Chicago,-1,~2.92 hours,West,,29.77,-95.39,42.34,-71.02
2012-13,RS,Dec,50,2012-12-15,Boston Celtics,San Antonio Spurs,Away,L,San Antonio,189,Houston - San Antonio,0,America/Chicago,0,~55 minutes,-,,29.46,-98.51,29.77,-95.39
2012-13,RS,Dec,51,2012-12-18,Boston Celtics,Chicago Bulls,Away,L,Chicago,1048,San Antonio - Chicago,2,America/Chicago,0,~1.91 hours,-,,41.84,-87.68,29.46,-98.51
2012-13,RS,Dec,51,2012-12-19,Boston Celtics,Cleveland Cavaliers,Home,W,Boston,854,Chicago - Boston,0,America/New_York,1,~1.55 hours,East,,42.34,-71.02,41.84,-87.68
2012-13,RS,Dec,51,2012-12-21,Boston Celtics,Milwaukee Bucks,Home,L,Boston,0,No Travel,1,America/New_York,0,-,-,,42.34,-71.02,42.34,-71.02
2012-13,RS,Dec,52,2012-12-25,Boston Celtics,Brooklyn Nets,Away,W,New York,190,Boston - New York,3,America/New_York,0,~55 minutes,-,,40.67,-73.94,42.34,-71.02
2012-13,RS,Dec,52,2012-12-27,Boston Celtics,Los Angeles Clippers,Away,L,Los Angeles,2458,New York - Los Angeles,1,America/Los_Angeles,-3,~4.47 hours,West,,34.11,-118.41,40.67,-73.94
2012-13,RS,Dec,52,2012-12-29,Boston Celtics,Golden State Warriors,Away,L,San Francisco,339,Los Angeles - San Francisco,1,America/Los_Angeles,0,~55 minutes,-,,37.77,-122.45,34.11,-118.41
2012-13,RS,Dec,53,2012-12-30,Boston Celtics,Sacramento Kings,Away,L,Sacramento,77,San Francisco - Sacramento,0,America/Los_Angeles,0,~55 minutes,-,,38.57,-121.47,37.77,-122.45
2012-13,RS,Jan,1,2013-01-02,Boston Celtics,Memphis Grizzlies,Home,L,Boston,2628,Sacramento - Boston,2,America/New_York,3,~4.78 hours,East,,42.34,-71.02,38.57,-121.47
2012-13,RS,Jan,1,2013-01-04,Boston Celtics,Indiana Pacers,Home,W,Boston,0,No Travel,1,America/New_York,0,-,-,,42.34,-71.02,42.34,-71.02
2012-13,RS,Jan,1,2013-01-05,Boston Celtics,Atlanta Hawks,Away,W,Atlanta,938,Boston - Atlanta,0,America/New_York,0,~1.71 hours,-,,33.76,-84.42,42.34,-71.02
2012-13,RS,Jan,1,2013-01-07,Boston Celtics,New York Knicks,Away,W,New York,748,Atlanta - New York,1,America/New_York,0,~1.36 hours,-,,40.67,-73.94,33.76,-84.42
2012-13,RS,Jan,2,2013-01-09,Boston Celtics,Phoenix Suns,Home,W,Boston,190,New York - Boston,1,America/New_York,0,~55 minutes,-,,42.34,-71.02,40.67,-73.94
2012-13,RS,Jan,2,2013-01-11,Boston Celtics,Houston Rockets,Home,W,Boston,0,No Travel,1,America/New_York,0,-,-,,42.34,-71.02,42.34,-71.02
2012-13,RS,Jan,2,2013-01-14,Boston Celtics,Charlotte Bobcats,Home,W,Boston,0,No Travel,2,America/New_York,0,-,-,,42.34,-71.02,42.34,-71.02
2012-13,RS,Jan,3,2013-01-16,Boston Celtics,New Orleans Hornets,Home,L,Boston,0,No Travel,1,America/New_York,0,-,-,,42.34,-71.02,42.34,-71.02
2012-13,RS,Jan,3,2013-01-18,Boston Celtics,Chicago Bulls,Home,L,Boston,0,No Travel,1,America/New_York,0,-,-,,42.34,-71.02,42.34,-71.02
2012-13,RS,Jan,3,2013-01-20,Boston Celtics,Detroit Pistons,Away,L,Detroit,617,Boston - Detroit,1,America/Detroit,0,~1.12 hours,-,,42.38,-83.1,42.34,-71.02
2012-13,RS,Jan,4,2013-01-22,Boston Celtics,Cleveland Cavaliers,Away,L,Cleveland,96,Detroit - Cleveland,1,America/New_York,0,~55 minutes,-,,41.48,-81.68,42.38,-83.1
2012-13,RS,Jan,4,2013-01-24,Boston Celtics,New York Knicks,Home,L,Boston,551,Cleveland - Boston,1,America/New_York,0,~1 hours,-,,42.34,-71.02,41.48,-81.68
2012-13,RS,Jan,4,2013-01-25,Boston Celtics,Atlanta Hawks,Away,L,Atlanta,938,Boston - Atlanta,0,America/New_York,0,~1.71 hours,-,,33.76,-84.42,42.34,-71.02
2012-13,RS,Jan,4,2013-01-27,Boston Celtics,Miami Heat,Home,W,Boston,938,Atlanta - Boston,1,America/New_York,0,~1.71 hours,-,,42.34,-71.02,33.76,-84.42
2012-13,RS,Jan,5,2013-01-30,Boston Celtics,Sacramento Kings,Home,W,Boston,0,No Travel,2,America/New_York,0,-,-,,42.34,-71.02,42.34,-71.02
2012-13,RS,Feb,5,2013-02-01,Boston Celtics,Orlando Magic,Home,W,Boston,0,No Travel,1,America/New_York,0,-,-,,42.34,-71.02,42.34,-71.02
2012-13,RS,Feb,5,2013-02-03,Boston Celtics,Los Angeles Clippers,Home,W,Boston,0,No Travel,1,America/New_York,0,-,-,,42.34,-71.02,42.34,-71.02
2012-13,RS,Feb,6,2013-02-06,Boston Celtics,Toronto Raptors,Away,W,Toronto,432,Boston - Toronto,2,America/Toronto,0,~55 minutes,-,,43.65,-79.38,42.34,-71.02
2012-13,RS,Feb,6,2013-02-07,Boston Celtics,Los Angeles Lakers,Home,W,Boston,432,Toronto - Boston,0,America/New_York,0,~55 minutes,-,,42.34,-71.02,43.65,-79.38
2012-13,RS,Feb,6,2013-02-10,Boston Celtics,Denver Nuggets,Home,W,Boston,0,No Travel,2,America/New_York,0,-,-,,42.34,-71.02,42.34,-71.02
2012-13,RS,Feb,6,2013-02-11,Boston Celtics,Charlotte Bobcats,Away,L,Charlotte,722,Boston - Charlotte,0,America/New_York,0,~1.31 hours,-,,35.2,-80.83,42.34,-71.02
